speaker,season,line_count,word_count,episode_count
Tim,5,6,98,1
Bill,5,5,40,1
Choreographer,5,5,26,1
Drake,5,5,19,1
Elaine,5,5,91,1
Julia Kutner,5,5,103,1
Maria,5,5,32,1
Sadie,5,5,39,1
Woman,5,5,27,3
Blythe,5,4,109,1
Director,5,4,19,1
Doctor,5,4,42,1
Girl,5,4,15,1
Larry,5,4,63,1
Michael,5,4,17,1
Mitch,5,4,23,1
Policeman 2,5,4,40,1
Target,5,4,13,1
Daryl,5,3,35,1
Ian,5,3,26,1
Jolie,5,3,10,1
Man,5,3,20,2
Marika,5,3,40,1
Patient,5,3,15,1
Rita,5,3,32,1
Sandra,5,3,10,1
Stripper,5,3,18,1
Valez,5,3,16,1
Warren,5,3,59,1
Carrick,5,2,30,1
Ceo,5,2,26,1
Daughter,5,2,6,1
Eileen,5,2,10,1
Female Staff Member,5,2,12,1
Forman,5,2,13,2
House & Amber,5,2,5,1
Jessica,5,2,11,1
Jonathan,5,2,6,1
Male Officer,5,2,35,1
Man In Crowd,5,2,17,1
Mother,5,2,34,1
Mr Hadley,5,2,17,1
Nikki,5,2,11,1
Pietramala,5,2,21,1
Second Man,5,2,18,1
Surgeon,5,2,9,1
Tv Announcer,5,2,26,1
Wife,5,2,2,1
Announcer,5,1,7,1
Billy,5,1,9,1
Cafeteria Worker,5,1,5,1
Child's Voice,5,1,5,1
Chorus,5,1,35,1
Christ,5,1,5,1
Cop,5,1,5,1
Cudddy,5,1,15,1
Emt,5,1,5,1
Ensemble,5,1,27,1
Female Doctor,5,1,5,1
Female Officer,5,1,7,1
Fletch,5,1,5,1
Flunky,5,1,4,1
Forbes,5,1,16,1
House & Foreman Together,5,1,2,1
House & Lucas,5,1,1,1
Jonah,5,1,2,1
Kunter,5,1,18,1
Lucase,5,1,6,1
Male Nurse,5,1,3,1
Male Staff Member,5,1,2,1
Man A,5,1,14,1
Manager,5,1,5,1
Maury,5,1,5,1
Melanie & Joseph,5,1,1,1
Minister & Mourners,5,1,9,1
Mom,5,1,6,1
Note,5,1,30,1
Nurse Helen,5,1,9,1
Other Visitors,5,1,2,1
Pan Am Clerk,5,1,9,1
Paula,5,1,5,1
Policeman,5,1,4,1
Rachelle,5,1,24,1
Referee,5,1,3,1
Richard Kutner,5,1,10,1
Sandra's Husband,5,1,22,1
Tammy,5,1,41,1
House,6,2253,30932,22
Wilson,6,773,8299,21
Foreman,6,746,8179,20
Chase,6,675,7028,20
Thirteen,6,612,6786,18
Taub,6,563,5765,16
Cuddy,6,546,6176,20
Cameron,6,276,3153,7
Nolan,6,189,3133,4
Alvie,6,136,1855,3
Lucas,6,69,1036,6
Sam,6,68,640,4
Ted,6,68,600,1
Valerie,6,67,840,1
Nicole,6,63,320,2
Roy,6,62,553,2
Hanna,6,58,375,1
Tucker,6,58,631,1
Beasley,6,55,593,2
Sidas,6,52,667,1
Vince,6,48,610,1
Frankie,6,46,607,1
Rachel,6,46,479,4
Eddie,6,43,417,1
Lydia,6,41,526,2
Julia,6,40,463,1
Mickey,6,40,504,1
Bill,6,38,299,1
William,6,35,363,1
Hank,6,33,500,1
Jordan,6,33,362,1
Medina,6,33,323,2
Daryl,6,32,324,1
Donny,6,32,336,1
Nick,6,32,266,1
Abby,6,31,185,1
Cotter,6,29,182,1
Dibala,6,29,515,1
Marcus,6,29,532,1
Nash,6,29,379,1
Nora,6,28,315,1
Nurse Regina,6,28,246,1
Captain Mccreaney,6,25,280,1
Sarah,6,25,243,3
Dara,6,24,188,1
Freedom Master,6,24,222,2
Tom,6,23,217,1
Jay,6,22,293,2
Shannon,6,22,173,1
Wibberly,6,22,290,1
Ashley,6,21,164,1
Miles,6,19,207,1
Phoebe,6,19,176,1
Taylor,6,19,394,1
Eli,6,18,338,1
Melissa,6,17,91,1
Artie,6,16,89,1
Clinic Patient,6,15,206,1
Glenda,6,15,150,1
Westbrook,6,15,153,1
Sidney,6,14,108,1
Cheryl,6,13,163,1
Damien,6,13,50,1
Russ,6,13,105,1
Brian,6,12,104,1
Michelle,6,12,72,1
Jim,6,11,150,1
Joseph,6,11,92,2
Richter,6,11,75,2
Stan,6,11,67,1
Beringer,6,10,151,1
Del,6,10,70,1
Donald,6,10,50,1
Ken,6,10,132,1
Mr Damon,6,10,86,1
Murphy,6,10,147,1
Oscar,6,10,99,1
Smits,6,10,101,1
Woman,6,10,41,2
Derek,6,9,77,1
Gail,6,9,216,1
Rick,6,9,93,1
Shop Clerk,6,9,50,1
Charlie,6,8,65,1
Jack,6,8,49,1
Marco,6,8,60,1
Norris,6,8,75,1
Priest,6,8,85,1
Safer,6,8,42,2
Sandy,6,8,109,2
Stuart,6,8,160,1
Diane,6,7,39,2
Hal,6,7,65,1
Keener,6,7,90,1
Lee,6,7,58,1
Lexa,6,7,78,1
Ronnie,6,7,38,1
Tannenbaum,6,7,91,1
Cab Driver,6,6,63,1
Coach,6,6,38,1
Emily,6,6,41,1
Emt,6,6,24,1
Jay-bird,6,6,12,1
Loud Speaker,6,6,145,1
Maya,6,6,24,1
Nurse,6,6,43,4
Ruwe,6,6,159,1
Sanford,6,6,89,1
Tommy,6,6,27,1
Daria,6,5,25,1
Dr Thomas,6,5,114,1
Dutch,6,5,63,1
Mary,6,5,64,1
Michael,6,5,22,1
Aikoa Tanaka,6,4,70,1
Ama,6,4,17,1
Ayala,6,4,68,1
Cashier,6,4,21,2
Cecile,6,4,29,1
Dr Paulson,6,4,52,1
Garney,6,4,21,1
Hallucination Of Young Abby,6,4,20,1
Hourani,6,4,45,1
Jose,6,4,19,1
Ms X,6,4,23,1
Nicole's Father,6,4,20,1
Nona,6,4,35,1
Oliver,6,4,62,1
Orderly,6,4,13,2
Scout,6,4,17,1
Singh,6,4,31,1
Walker,6,4,14,1
All,6,3,4,3
Court Officer,6,3,19,1
Doctor,6,3,45,2
Dr Simpson,6,3,34,1
Durdanna,6,3,45,1
Durkee,6,3,18,1
Everyone,6,3,14,2
Grace,6,3,21,1
Harris,6,3,56,1
Jeffrey,6,3,12,1
Joan,6,3,18,1
Juan,6,3,28,1
June,6,3,22,1
Maldonado,6,3,11,1
Reverend Bowden,6,3,97,1
Saleswoman,6,3,29,1
Another Guard,6,2,18,1
Audience,6,2,5,1
Avery,6,2,10,1
Bass,6,2,8,1
Chanting Crowd,6,2,8,1
Claudia,6,2,5,1
Cop,6,2,11,1
Dex,6,2,13,1
Diana,6,2,8,1
Dr D'razio,6,2,15,1
Elizabeth,6,2,19,1
Female Board Member,6,2,16,1
Gabriella,6,2,17,1
Gracie's Voice,6,2,26,1
Guard,6,2,22,1
Hostess,6,2,51,1
House Sitter,6,2,27,1
Kaitlin,6,2,10,1
Lady,6,2,6,2
Madison,6,2,42,1
Man At Dance,6,2,19,1
Man At Faire,6,2,21,1
Man In Stall,6,2,4,1
Marta,6,2,10,1
Nurse Jeffrey,6,2,15,1
Phyllis,6,2,47,1
Public Defender,6,2,13,1
Quarterback,6,2,7,1
Saul,6,2,9,1
Security Guard,6,2,10,1
Susan,6,2,24,1
Tv,6,2,28,1
Valdez,6,2,14,1
Adam,6,1,8,1
All But Foreman,6,1,1,1
Annie,6,1,2,1
Another Coach,6,1,3,1
Band Member,6,1,12,1
Ben,6,1,4,1
Business Man,6,1,12,1
Camreon,6,1,15,1
Chaes,6,1,16,1
Chase & Thirteen,6,1,2,1
Chloe,6,1,2,1
Convention Registrar,6,1,6,1
Cooking Teacher,6,1,16,1
Cop 2,6,1,8,1
Dionne,6,1,13,1
Dr Felker,6,1,13,1
Dr Turner,6,1,29,1
Drnolan,6,1,37,1
Esteban's Mother,6,1,4,1
Formean,6,1,20,1
