speaker,line_count,word_count,episode_count,season_count
Young Man,3,15,2,2
Female Dr On Mini Tv,3,14,1,1
Young Boy,3,14,1,1
Air Foreman,3,13,1,1
Trevor's Roommate,3,13,1,1
Voldemort,3,13,1,1
Female Soap Character,3,12,1,1
Jeffrey,3,12,1,1
Maldonado,3,11,1,1
Jolie,3,10,1,1
Sandra,3,10,1,1
Anesthesiologist 1,3,9,1,1
Carol,3,9,1,1
Little Boy,3,9,2,1
Hseuh,3,6,1,1
Martin,3,6,1,1
Asofa,3,5,1,1
Head Doc,2,178,1,1
Captain,2,68,1,1
Leisha,2,52,1,1
Hostess,2,51,1,1
Note,2,49,2,2
Phyllis,2,47,1,1
Bergen,2,45,1,1
Boy 2,2,37,1,1
Male Officer,2,35,1,1
Asian Man,2,34,1,1
Fun Stop Attendant,2,33,1,1
Master,2,32,2,1
Eve's Mom,2,31,1,1
Carrick,2,30,1,1
Chases,2,30,2,1
Chi's Mom,2,29,1,1
Weinman,2,28,1,1
House Sitter,2,27,1,1
Ceo,2,26,1,1
Gracie's Voice,2,26,1,1
Shelley,2,26,1,1
Tv Announcer,2,26,1,1
Carny,2,24,1,1
Brown,2,23,1,1
Neuro,2,23,1,1
Abbie,2,22,1,1
Cudddy,2,22,2,2
Jesse Baker,2,22,1,1
Mrs Silver,2,22,1,1
Prosecuter,2,22,1,1
Linesman,2,21,1,1
Man At Faire,2,21,1,1
Pietramala,2,21,1,1
Hastings,2,20,1,1
Phone,2,20,2,2
Man At Dance,2,19,1,1
Another Guard,2,18,1,1
Dry Cleaner,2,18,1,1
Emt 1,2,18,1,1
Second Man,2,18,1,1
Uniformed Man,2,18,1,1
Big Eye,2,17,1,1
Danielle,2,17,1,1
Gabriella,2,17,1,1
Houses,2,17,2,2
Man In Crowd,2,17,1,1
Mel,2,17,1,1
Mr Hadley,2,17,1,1
Car,2,16,1,1
Female Board Member,2,16,1,1
Dr D'razio,2,15,1,1
Female Patron,2,15,1,1
Fred,2,15,1,1
Houes,2,15,2,2
Nurse Jeffrey,2,15,1,1
Dentist,2,14,1,1
Doctor 2,2,14,1,1
Fifty-buck Dad,2,14,1,1
Valdez,2,14,1,1
Various Staffers,2,14,1,1
Carmen,2,13,1,1
Dex,2,13,1,1
Female Doctor,2,13,2,2
Fireman5,2,13,1,1
Joni,2,13,1,1
Public Defender,2,13,1,1
Rescuer2,2,13,1,1
Roid Rage,2,13,1,1
Sullivan,2,13,1,1
The Guitarnapper,2,13,1,1
Airport Loudspeaker,2,12,1,1
Commentator 1,2,12,1,1
